cleaned_method,target_block,tokens_in_method
"def async_post_installation(self):
    """"""Run post installation steps.""""""
    if self.data.config_flow:
        if self.data.full_name != ""hacs/integration"":
            await self.reload_custom_components()
        if self.data.first_install:
            self.pending_restart = False
            return
    self.pending_restart = True
","if self . data . full_name != ""hacs/integration"" :",97
"def generate_copyright(template, lang=""go""):
    if lang in [""Python"", ""shell""]:
        LANG_COMMENT_MARK = ""#""
    else:
        LANG_COMMENT_MARK = ""//""
    lines = template.split(NEW_LINE_MARK)
    BLANK = "" ""
    ans = LANG_COMMENT_MARK + BLANK + COPYRIGHT_HEADER + NEW_LINE_MARK
    for lino, line in enumerate(lines):
        if lino == 0 or lino == 1 or lino == len(lines) - 1:
            continue
        if len(line) == 0:
            BLANK = """"
        else:
            BLANK = "" ""
        ans += LANG_COMMENT_MARK + BLANK + line + NEW_LINE_MARK
    return ans + ""\n""
",if lino == 0 or lino == 1 or lino == len ( lines ) - 1 :,195
"def test_get_first_child(self, model):
    data = [
        (""2"", ""21""),
        (""21"", None),
        (""23"", ""231""),
        (""231"", None),
    ]
    for desc, expected in data:
        node = model.objects.get(desc=desc).get_first_child()
        if expected is None:
            assert node is None
        else:
            assert node.desc == expected
            assert type(node) == model
",if expected is None :,130
"def test_failures(self):
    for idx, doc in enumerate(JSONDOCS):
        idx = idx + 1
        if idx in SKIPS:
            json.loads(doc)
            continue
        try:
            json.loads(doc)
        except ValueError:
            pass
        else:
            self.fail(""Expected failure for fail%d.json: %r"" % (idx, doc))
",if idx in SKIPS :,109
"def parse_download_link(self, line, in_download):
    """"""Parse Flutter SDK download links""""""
    url = None
    in_download = False
    if ""Flutter "" in line:
        p = re.search(r""Flutter\s(\S+)"", line)
        if p is not None:
            in_download = True
    if in_download:
        with suppress(AttributeError):
            url = (
                ""https://storage.googleapis.com/flutter_infra/releases/stable/linux/""
                + ""flutter_linux_v{}-stable.tar.xz"".format(p.group(1))
            )
    return ((url, None), in_download)
",if p is not None :,180
"def yields(self):
    for h4 in self.soup.findAll(""h4""):
        for strong in h4.findAll(""strong""):
            raw_yield = strong.text
            for word in raw_yield.split():
                if word.isdigit():
                    yields = word
    return get_yields(""{} servings"".format(yields))
",if word . isdigit ( ) :,91
"def __iter__(self) -> Iterator[List[SampledData]]:
    for batch in self.data_loader:
        # batch : List[Tensor[N, C, H, W]]
        # images_batch : Tensor[N, C, H, W]
        # image : Tensor[C, H, W]
        images = [image for images_batch in batch for image in images_batch]
        if not images:
            continue
        if self.shuffle:
            random.shuffle(images)
        yield from self._produce_data(images)
",if self . shuffle :,139
"def set_cookie(self, cookie):
    """"""Set a cookie, without checking whether or not it should be set.""""""
    c = self._cookies
    self._cookies_lock.acquire()
    try:
        if cookie.domain not in c:
            c[cookie.domain] = {}
        c2 = c[cookie.domain]
        if cookie.path not in c2:
            c2[cookie.path] = {}
        c3 = c2[cookie.path]
        c3[cookie.name] = cookie
    finally:
        self._cookies_lock.release()
",if cookie . path not in c2 :,148
"def product(self, term, ordinal):
    dims = term._pyro_dims
    for dim in sorted(ordinal, reverse=True):
        pos = dims.find(dim)
        if pos != -1:
            key = ""product"", self._hash_by_id(term), dim
            if key in self._cache:
                term = self._cache[key]
            else:
                term = term.sum(pos)
                dims = dims.replace(dim, """")
                self._cache[key] = term
                term._pyro_dims = dims
    return term
",if key in self . _cache :,160
"def set_inputs(self, num_inputs):
    if num_inputs == len(self.inputs):
        return
    if num_inputs < len(self.inputs):
        while num_inputs < len(self.inputs):
            self.inputs.remove(self.inputs[-1])
    if num_inputs > len(self.inputs):
        if ""X"" not in self.inputs:
            self.inputs.new(""SvStringsSocket"", ""X"")
        if ""Y"" not in self.inputs and num_inputs == 2:
            self.inputs.new(""SvStringsSocket"", ""Y"")
        self.change_prop_type(None)
","if ""X"" not in self . inputs :",166
"def setCornerWidget(self, cornerWidget, cornerWidgetExpanded=False):
    if self.__cornerWidget is not None:
        self.removeChild(self.__cornerWidget)
    if cornerWidget is not None:
        if cornerWidgetExpanded and self.__headerLayout.stretch(1) == 1:
            self.__headerLayout.setStretch(1, 0)
        elif self.__headerLayout.stretch(1) == 0:
            self.__headerLayout.setStretch(1, 1)
        stretch = 1 if cornerWidgetExpanded else 0
        self.__headerLayout.addWidget(cornerWidget._qtWidget(), stretch)
        self.__cornerWidget = cornerWidget
        self.__cornerWidget._applyVisibility()
",elif self . __headerLayout . stretch ( 1 ) == 0 :,180
"def stop(self, kill=False, timeout=15, _=False):
    term = False
    start_time = time.time()
    timeout *= self._context.timeout_multiplier
    while self._handle and self._is_running():
        if kill:
            self._handle.kill()
        elif not term:
            self._handle.terminate()
            term = True
        time.sleep(1)
        if not kill and time.time() - start_time > timeout:
            kill = True
    if self._log:
        self._log.close()
",if kill :,147
"def filter_after(res_list, after_time):
    after_time = time_parse(after_time)
    new_res_list = []
    for res in res_list:
        if ""time_last"" in res:
            if res[""time_last""] > after_time:
                new_res_list.append(res)
        elif ""zone_time_last"" in res:
            if res[""zone_time_last""] > after_time:
                new_res_list.append(res)
        else:
            new_res_list.append(res)
    return new_res_list
","elif ""zone_time_last"" in res :",163
"def create(self, user, repo, add=False):
    try:
        group = self.gl.groups.search(user)
        data = {""name"": repo}
        if group:
            data[""namespace_id""] = group[0].id
        self.gl.projects.create(data=data)
    except GitlabCreateError as err:
        if (
            json.loads(err.response_body.decode(""utf-8""))[""message""][""name""][0]
            == ""has already been taken""
        ):
            raise ResourceExistsError(""Project already exists."") from err
        else:
            raise ResourceError(""Unhandled error."") from err
    if add:
        self.add(user=user, repo=repo, tracking=self.name)
",if group :,195
"def __init__(self, value, timestamp, attachments):
    self._value = value
    self._timestamp = timestamp
    if attachments is None:
        raise TypeError(""attachments should not be empty"")
    for key, value in attachments.items():
        if key is None or not isinstance(key, str):
            raise TypeError(
                ""attachment key should not be "" ""empty and should be a string""
            )
        if value is None or not isinstance(value, str):
            raise TypeError(
                ""attachment value should not be "" ""empty and should be a string""
            )
    self._attachments = attachments
","if value is None or not isinstance ( value , str ) :",158
"def valid_stream_name_or_error(name: str):
    try:
        if not name:
            raise Exception(""Stream name cannot be blank."")
        parsed = URL.parse(name)
        if parsed.has_channel:
            raise Exception(
                ""Stream names cannot start with '@' symbol. This is reserved for channels claims.""
            )
        if not parsed.has_stream or parsed.stream.name != name:
            raise Exception(""Stream name has invalid characters."")
    except (TypeError, ValueError):
        raise Exception(""Invalid stream name."")
",if not name :,144
"def openoutputfile(self, options, fulloutputpath):
    """"""Opens the output file.""""""
    if self.isarchive(options.output, ""output""):
        outputstream = options.outputarchive.openoutputfile(fulloutputpath)
        if outputstream is None:
            self.warning(
                ""Could not find where to put %s in output ""
                ""archive; writing to tmp"" % fulloutputpath
            )
            return StringIO()
        return outputstream
    else:
        return super(ArchiveConvertOptionParser, self).openoutputfile(
            options, fulloutputpath
        )
",if outputstream is None :,161
"def _response(self, request_number, t, *arg):
    msg = Message()
    msg.add_int(request_number)
    for item in arg:
        if isinstance(item, long):
            msg.add_int64(item)
        elif isinstance(item, int):
            msg.add_int(item)
        elif isinstance(item, (string_types, bytes_types)):
            msg.add_string(item)
        elif type(item) is SFTPAttributes:
            item._pack(msg)
        else:
            raise Exception(""unknown type for {!r} type {!r}"".format(item, type(item)))
    self._send_packet(t, msg)
","if isinstance ( item , long ) :",181
